Country,date,total cases,total death,death rate
India,30-01-2020,1,0,0
India,31-01-2020,1,0,0
India,01-02-2020,1,0,0
India,02-02-2020,2,0,0
India,03-02-2020,2,0,0
India,04-02-2020,3,0,0
India,05-02-2020,3,0,0
India,06-02-2020,3,0,0
India,07-02-2020,3,0,0
India,08-02-2020,3,0,0
India,09-02-2020,3,0,0
India,10-02-2020,3,0,0
India,11-02-2020,3,0,0
India,12-02-2020,3,0,0
India,13-02-2020,3,0,0
India,14-02-2020,3,0,0
India,15-02-2020,3,0,0
India,16-02-2020,3,0,0
India,17-02-2020,3,0,0
India,18-02-2020,3,0,0
India,19-02-2020,3,0,0
India,20-02-2020,3,0,0
India,21-02-2020,3,0,0
India,22-02-2020,3,0,0
India,23-02-2020,3,0,0
India,24-02-2020,3,0,0
India,25-02-2020,3,0,0
India,26-02-2020,3,0,0
India,27-02-2020,3,0,0
India,28-02-2020,3,0,0
India,29-02-2020,3,0,0
India,01-03-2020,3,0,0
India,02-03-2020,3,0,0
India,03-03-2020,5,0,0
India,04-03-2020,6,0,0
India,05-03-2020,28,0,0
India,06-03-2020,29,0,0
India,07-03-2020,31,0,0
India,08-03-2020,34,0,0
India,09-03-2020,,0,0
India,10-03-2020,44,0,0
India,11-03-2020,50,0,0
India,12-03-2020,73,0,0
India,13-03-2020,75,1,0.013333333
India,14-03-2020,83,2,0.024096386
India,15-03-2020,90,2,0.022222222
India,16-03-2020,93,2,0.021505376
India,17-03-2020,125,3,0.024
India,18-03-2020,137,3,0.02189781
India,19-03-2020,165,3,0.018181818
India,20-03-2020,191,4,0.020942408
India,21-03-2020,231,4,0.017316017
India,22-03-2020,320,4,0.0125
India,23-03-2020,439,7,0.01594533
India,24-03-2020,492,9,0.018292683
India,25-03-2020,562,9,0.016014235
India,26-03-2020,649,13,0.020030817
India,27-03-2020,724,17,0.023480663
India,28-03-2020,873,19,0.021764032
India,29-03-2020,979,25,0.025536261
India,30-03-2020,1071,29,0.027077498
India,31-03-2020,1251,32,0.025579536
India,01-04-2020,1397,35,0.025053686
India,02-04-2020,1965,50,0.025445293
India,03-04-2020,2301,56,0.024337245
India,04-04-2020,2902,68,0.023432116
India,05-04-2020,3374,77,0.022821577
India,06-04-2020,4067,109,0.026801082
India,07-04-2020,4421,114,0.025786021
India,08-04-2020,5194,149,0.028686946
India,09-04-2020,5734,166,0.028950122
India,10-04-2020,6412,199,0.031035558
India,11-04-2020,7447,239,0.03209346
India,12-04-2020,8356,273,0.032671135
India,13-04-2020,9152,308,0.033653846
India,14-04-2020,10363,339,0.032712535
India,15-04-2020,11438,377,0.032960308
India,16-04-2020,12380,414,0.033441034
India,17-04-2020,13387,437,0.032643609
India,18-04-2020,14378,480,0.033384337
India,19-04-2020,15712,507,0.03226833
India,20-04-2020,17265,543,0.031450912
India,21-04-2020,18600,590,0.03172043
India,22-04-2020,19984,640,0.03202562
India,23-04-2020,21393,681,0.031832843
India,24-04-2020,23077,718,0.03111323
India,25-04-2020,24506,775,0.031624908
India,26-04-2020,26496,824,0.031099034
India,27-04-2020,27892,872,0.031263445
India,28-04-2020,29435,934,0.031730933
India,29-04-2020,31332,1007,0.032139666
India,30-04-2020,33050,1074,0.032496218
India,01-05-2020,35043,1147,0.032731216
India,02-05-2020,37336,1218,0.03262267
India,03-05-2020,39980,1301,0.032541271
India,04-05-2020,42533,1373,0.032280817
India,05-05-2020,46433,1568,0.033769087
India,06-05-2020,49391,1694,0.034297747
India,07-05-2020,52952,1783,0.033672005
India,08-05-2020,56342,1886,0.03347414
India,09-05-2020,59662,1981,0.033203714
India,10-05-2020,62939,2109,0.033508635
India,11-05-2020,67152,2206,0.032850846
India,12-05-2020,70756,2293,0.032407146
India,13-05-2020,74281,2415,0.032511679
India,14-05-2020,78003,2549,0.03267823
India,15-05-2020,81970,2649,0.032316701
India,16-05-2020,85940,2752,0.032022341
India,17-05-2020,90927,2872,0.031585778
India,18-05-2020,96169,3029,0.031496636
India,19-05-2020,101139,3163,0.031273792
India,20-05-2020,106750,3303,0.030941452
India,21-05-2020,112359,3435,0.03057165
India,22-05-2020,118447,3583,0.030249816
India,23-05-2020,125101,3720,0.029735973
India,24-05-2020,131868,3867,0.029324779
India,25-05-2020,138845,4021,0.028960351
India,26-05-2020,145380,4167,0.028662815
India,27-05-2020,151767,4337,0.0285767
India,28-05-2020,158333,4531,0.028616902
India,29-05-2020,165799,4706,0.028383766
India,30-05-2020,173763,4971,0.028607931
India,31-05-2020,182143,5164,0.02835135
India,01-06-2020,190535,5394,0.028309759
India,02-06-2020,198706,5598,0.028172275
India,03-06-2020,207615,5815,0.028008574
India,04-06-2020,216919,6075,0.028005845
India,05-06-2020,226770,6348,0.027993121
India,06-06-2020,236657,6642,0.028065935
India,07-06-2020,246628,6929,0.028094945
India,08-06-2020,256611,7135,0.027804732
India,09-06-2020,266598,7466,0.028004711
India,10-06-2020,276583,7745,0.028002444
India,11-06-2020,286579,8102,0.028271436
India,12-06-2020,297535,8498,0.028561346
India,13-06-2020,308993,8884,0.02875146
India,14-06-2020,320922,9195,0.028651822
India,15-06-2020,332424,9520,0.028638125
India,16-06-2020,343091,9900,0.028855318
India,17-06-2020,354065,11903,0.033618121
India,18-06-2020,366946,12237,0.033348231
India,19-06-2020,380532,12573,0.033040585
India,20-06-2020,395048,12948,0.032775764
India,21-06-2020,410461,13254,0.032290522
India,22-06-2020,425282,13699,0.032211568
India,23-06-2020,440215,14011,0.03182763
India,24-06-2020,456183,14476,0.031732879
India,25-06-2020,473105,14894,0.031481384
India,26-06-2020,490401,15301,0.031200997
India,27-06-2020,508953,15685,0.03081817
India,28-06-2020,528859,16095,0.030433443
India,29-06-2020,548318,16475,0.030046433
India,30-06-2020,566840,16893,0.029802061
India,01-07-2020,585493,17400,0.029718545
India,02-07-2020,604641,17834,0.029495188
India,03-07-2020,625544,18213,0.029115458
India,04-07-2020,648315,18655,0.028774593
India,05-07-2020,673165,19268,0.028622997
India,06-07-2020,697413,19693,0.028237214
India,07-07-2020,719665,20160,0.028013034
